userhandle,kokil_ideology,relevance_kw,relevance_delib,barbera_ideology
_colebennett_,0.00338097188821111,0,0.0557393158068233,0
_floridaman,0.00291421607808779,0.0184662734034368,0.0662977405317164,0
_youhadonejob1,0.00492305316349759,0.0239399814549439,0.104981326035134,1.22652812003661
1future,0.00266600977021124,0.002321083172147,0.0588115071511506,0
1gunnagunna,0.00303087945262341,0.00134926754047803,0.0404384343527022,0
1hakz_,0.0029541866466086,0.00119388729703916,0.0591943033590165,0
1youngtakeoff,0.00380603080544336,0,0.05220689643855,0
20committee,0.0039863585525513,0.0172353760445682,0.0873100389055931,1.17498679206609
21savage,0.00189522910571472,4.41111601235112e-4,0.047003172765939,0
2chainz,0.00268690893857518,0,0.0440163206130154,0
49ers,0.00323180264307191,0.0010268446530732,0.0673296239473827,0
4everbrandy,0.00358411864034507,0,0.0618964519235365,0
50cent,0.00337583689838961,0.00136500136500137,0.0621412058795147,0
5sos,0.00241153238250907,0.00355239786856128,0.0675965606654558,0
60minutes,0.00246004195688366,0.0182648401826484,0.0707066505769851,0.358458793251194
6billionpeople,0.00339166509154809,0.00360449735449735,0.0870904997144729,1.22652812003661
6ix9ine,0.0101770524724,0,0.05447526312986,0
6lack,0.00309535337301705,0.00237312887915297,0.0606865665250663,0
aaronpaul_8,0.00417948130455855,0.037037037037037,0.0763334502617666,-1.17498679206609
aaronrodgers12,0.00188396673350289,0,0.0559912660558555,0
ab84,0.0044962594605453,0.00224602626123013,0.103143465480899,0.524400512708041
abbydphillip,0.00388882302520385,0.0379708689100955,0.0898042187020352,1.17498679206609
abc,0.00244496007292589,0.0244883367593172,0.0744475572502809,0.915365087842814
abdashsoul,0.00112871044871951,0,0.0582900911672699,0
abhcosmetics,0.00132132542697454,0,0.0377377997376772,0
ac360,0.00364617364707147,0.0502450706116693,0.0821502666395367,0.467698799114508
aclu,0.00439051344869356,0.0630707320848166,0.0824663983884237,-1.47579102817917
acosta,0.00364852221739588,0.0494493392070484,0.0835874382426157,0.915365087842814
actuallynph,0.00388038822125112,0.00294056494490153,0.0960354990248504,-1.40507156030963
adamlevine,0.00496075404077796,0.00733349859527352,0.10532851742429,-1.2815515655446
adamparkhomenko,0.00374288150153061,0.0150540777550424,0.076266993963022,-0.0752698620998298
adamsandler,0.00366659213609786,0,0.0835726924420056,0
adamschefter,0.00203035836616511,0.0031287848203472,0.0744687900239407,0.738846849185214
adidas,0.0035690912553235,0.00422832980972516,0.0995784903098534,0
adidasoriginals,0.0017130092872192,0.00341136336901541,0.0855849620385237,0
adrianpeterson,0.00409885536913956,0.00250385208012327,0.0962576699172154,1.88079360815125
adultswim,0.00360701648171563,0.00164457290939898,0.0976042814282851,-0.674489750196082
ahsfx,0.00244313600353367,0,0.0851317201789482,0
ajenglish,0.00185036551218446,0.0308785688028428,0.0590271104135181,0
ajplus,0.00397668090124108,0.0305114417906715,0.0781796040646337,0.176374164780861
akademiks,0.00236796127421622,0.0147130350194553,0.0579338752349056,0
albertbrooks,0.00298313242953392,0.0128004762967924,0.0733562330166036,0
alexernst,0.00394062276032636,0,0.0430521349998646,0
alexmorgan13,0.00418647210209034,0.00188419117647059,0.0998383828016873,-2.32634787404084
alfranken,0.00365051110234617,0.025053651557521,0.0885636981503679,-0.841621233572914
algore,0.00336534081944749,0.0126162164538321,0.0949454609716973,-1.22652812003661
aliciakeys,0.00461747528384837,0.00528502388152504,0.0927028497824772,-1.55477359459685
alissaviolet,0.0020385787986985,0.00347158779462817,0.0505546418853165,0
alleniverson,0.00380305949982431,0,0.0561752337026101,0
